Reference, Value, Footprint, Datasheet, Model, Part Number, C
J1,RJ50,DigitalLogic:RJ50_RJE051AA1310,,RJE051AA1310,,
U5,Opto_H11L1M,DigitalLogic:H11L1M,,,,
U1,Opto_H11L1M,DigitalLogic:H11L1M,,,,
U2,Opto_H11L1M,DigitalLogic:H11L1M,,,,
U3,Opto_H11L1M,DigitalLogic:H11L1M,,,,
U4,Opto_H11L1M,DigitalLogic:H11L1M,,,,
Q1,BC817-40,SOT-23,,MMBT2222LT1G,,
R1,10K,Resistors_SMD:R_0805,,,,
C9,0.1uF,Capacitors_Tantalum_SMD:TantalC_SizeR_EIA-2012,,,,
C10,0.1uF,Capacitors_SMD:C_0603,,,,
C11,0.1uF,Capacitors_SMD:C_0603,,,,
C12,0.1uF,Capacitors_SMD:C_0603,,,,
C13,0.1uF,Capacitors_SMD:C_0603,,,,
R20,450R,Resistors_SMD:R_0603,,,,
R19,1K,Resistors_SMD:R_0603,,,,
R18,1K,Resistors_SMD:R_0603,,,,
R17,1K,Resistors_SMD:R_0603,,,,
R16,1K,Resistors_SMD:R_0603,,,,
R15,1K,Resistors_SMD:R_0603,,,,
R11,100R,Resistors_SMD:R_0805,,,,
R7,10K,Resistors_SMD:R_0805,,,,
R12,100R,Resistors_SMD:R_0805,,,,
R8,10K,Resistors_SMD:R_0805,,,,
R13,100R,Resistors_SMD:R_0805,,,,
R9,10K,Resistors_SMD:R_0805,,,,
R14,100R,Resistors_SMD:R_0805,,,,
R10,10K,Resistors_SMD:R_0805,,,,
J2,CONN_01X03,Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_3pol,,,,
J3,IDC_16Pin_Polarized,Connect:IDC_Header_Straight_16pins,,,,
TH1,SL15 60004,Varistors:RV_Disc_D15.5_W6.1_P7.5,,,,
Q2,SI2323DDS-T1-GE3,TO_SOT_Packages_SMD:SOT-23,,,,
R51,1M,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,,,
R52,1M8,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,,,
VR1,MOV-07D270K,Varistors:RV_Disc_D7_W3.8_P5,,,,
F1,BK-6013,DigitalLogic:Mini-Blade_Fuse,,,,
D3,BATT Power,LEDs:LED_0805,,,,
D2,Reverse Polarity Error,LEDs:LED_0805,,,,
R32,3K6,Resistors_SMD:R_0603,,,,
R33,5K6,Resistors_SMD:R_0603,,,,
D4,3V3 Power,LEDs:LED_0805,,,,
