Reference, Value, Footprint, Datasheet, Model, Part Number,,Ordered
D1,~,Diodes_SMD:DO-214AB,,VSSC8L45-M3/9T,,,x
C9,0.1uF,Capacitors_Tantalum_SMD:TantalC_SizeR_EIA-2012,,,,,x
C10,0.1uF,Capacitors_SMD:C_0603,,,,,
C11,0.1uF,Capacitors_SMD:C_0603,,,,,
C12,0.1uF,Capacitors_SMD:C_0603,,,,,
C13,0.1uF,Capacitors_SMD:C_0603,,,,,
C26,0.1uF,Capacitors_SMD:C_0603,,,,,
C27,0.1uF,Capacitors_SMD:C_0603,,,,,
C30,0.1uF,Capacitors_SMD:C_0603,,,,,
C31,0.1uF,Capacitors_SMD:C_0603,,,,,
C28,0.1uF,Capacitors_SMD:C_0603,,,,,
C29,0.1uF,Capacitors_SMD:C_0603,,,,,
C32,0.1uF,Capacitors_SMD:C_0603,,,,,
C33,0.1uF,Capacitors_SMD:C_0603,,,,,
C21,0.1uF,Capacitors_SMD:C_0603,,,,,
C34,0.1uF,Resistors_SMD:R_0603,,,,,
C35,0.1uF,Resistors_SMD:R_0603,,,,,
C23,0.22uF,Capacitors_SMD:C_0603,,,,,x
C25,0.47uF,Capacitors_SMD:C_0603,,,,,x
C14,0.47uF,Capacitors_Tantalum_SMD:TantalC_SizeR_EIA-2012,,,,,x
C20,0.47uF,Capacitors_SMD:C_0805,,,,,x
C36,0.47uF/50V,Capacitors_SMD:C_0603,,,,,x
C16,0.47uF/50V,Capacitors_SMD:C_0805,,,,,x
R6,0R,Resistors_SMD:R_0603,,,,,x
R41,0R,Resistors_SMD:R_0603,,,,,x
C19,1000uF,DigitalLogic:c_elec_13x13,,25SEV1000M12.5X16,,,x
C6,100nF,Capacitors_SMD:C_0603,,,,,
C1,100nF,Capacitors_SMD:C_0603,,,,,
C2,100nF,Capacitors_SMD:C_0603,,,,,
C3,100nF,Capacitors_SMD:C_0603,,,,,
C4,100nF,Capacitors_SMD:C_0603,,,,,
C5,100nF,Capacitors_SMD:C_0603,,,,,
R11,100R,Resistors_SMD:R_0805,,,,,x
R12,100R,Resistors_SMD:R_0805,,,,,x
R13,100R,Resistors_SMD:R_0805,,,,,x
R14,100R,Resistors_SMD:R_0805,,,,,x
R3,100R,Resistors_SMD:R_0603,,,,,
L1,100uH,DigitalLogic:SRP1770TA-101M,,SRP1770TA-101M,,,x
R1,10K,Resistors_SMD:R_0805,,,,,x
R7,10K,Resistors_SMD:R_0805,,,,,x
R8,10K,Resistors_SMD:R_0805,,,,,x
R9,10K,Resistors_SMD:R_0805,,,,,x
R10,10K,Resistors_SMD:R_0805,,,,,x
R2,10K,Resistors_SMD:R_0603,,,,,
R22,10K,Resistors_SMD:R_0603,,,,,
R24,10K,Resistors_SMD:R_0603,,,,,
R30,10K,Resistors_SMD:R_0603,,,,,
R4,10R,Resistors_SMD:R_0603,,,,,x
R26,10R,Resistors_SMD:R_0603,,,,,x
C24,10uF/6.3V,Capacitors_SMD:C_1206,,,,,x
U15,12-Bit SPI ADC,SMD_Packages:SOIC-8-N,,MCP3202-CI/SN,,,x
L2,150uH,DigitalLogic:SRR7045-151M_Inductor,,SRR7045-151M,,,x
R34,158K,Resistors_SMD:R_0603,,,,,x
R32,191K,Resistors_SMD:R_0603,,,,,x
R19,1K,Resistors_SMD:R_0603,,,,,x
R18,1K,Resistors_SMD:R_0603,,,,,x
R17,1K,Resistors_SMD:R_0603,,,,,x
R16,1K,Resistors_SMD:R_0603,,,,,x
R15,1K,Resistors_SMD:R_0603,,,,,x
R36,1K,Resistors_SMD:R_0603,,,,,x
R40,1K,Resistors_SMD:R_0603,,,,,x
R46,1K,Resistors_SMD:R_0603,,,,,x
R37,1K5,Resistors_SMD:R_0603,,,,,x
R38,1K5,Resistors_SMD:R_0603,,,,,x
R44,1M,Resistors_SMD:R_0805,,,,,x
C18,1nF,Capacitors_SMD:C_0603,,,,,x
C22,1uF/100V,Capacitors_SMD:C_1206,,,,,x
R35,22R1,Resistors_SMD:R_0603,,,,,x
C15,22uF,Capacitors_Tantalum_SMD:TantalC_SizeR_EIA-2012,,,,,x
R29,2K2,Resistors_SMD:R_0603,,,,,x
C7,30-36pF,Capacitors_Tantalum_SMD:TantalC_SizeR_EIA-2012,,,,,x
C8,30-36pF,Capacitors_Tantalum_SMD:TantalC_SizeR_EIA-2012,,,,,x
R20,450R,Resistors_SMD:R_0603,,,,,x
R42,450R,Resistors_SMD:R_0603,,,,,x
R43,450R,Resistors_SMD:R_0603,,,,,x
R21,450R,Resistors_SMD:R_0603,,,,,x
R23,450R,Resistors_SMD:R_0603,,,,,x
R31,450R,Resistors_SMD:R_0603,,,,,x
R33,49K9,Resistors_SMD:R_0603,,,,,x
Y1,4MHz,Crystals:Q_49U3HMS,,,ATS040SM,,x
R25,560R,Resistors_SMD:R_0603,,,,,x
C17,680uF,DigitalLogic:c_elec_13x13,,35TLV680M12.5X13.5,,,x
R28,6K8,Resistors_SMD:R_0603,,,,,x
R45,75K,Resistors_SMD:R_0805,,,,,x
Q1,BC817-40,SOT-23,,MMBT2222LT1G,,,x
J6,CONN_01X02,Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol,,,,,x
J2,CONN_01X03,Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_3pol,,,,,x
J4,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,,,,,x
J3,CONN_02X07,Pin_Headers:Pin_Header_Straight_2x07,,,,,x
U12,ICL3221,SMD_Packages:SO-16-N,,,,,x
U11,MAX17552,DigitalLogic:MAX17552,,,,,x
U9,MC34063,DigitalLogic:MC34063,,,,,x
U5,Opto_H11L1M,DigitalLogic:H11L1M,,,,,
U1,Opto_H11L1M,DigitalLogic:H11L1M,,,,,
